"filename", "language", "XML", "JSON", "YAML", "Dart", "Markdown", "Groovy", "Properties", "C++", "HTML", "Swift", "comment", "blank", "total"
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/calling_module.dart/widgets/one-to-one/participant_view.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 4, 115
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/models/chat_message.dart", "Dart", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 14, 88
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/services/database.dart", "Dart", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 2, 18, 158
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/views/chat.dart", "Dart", 0, 0, 0, 356, 0, 0, 0, 0, 0, 0, 7, 22, 385
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/views/chatrooms.dart", "Dart", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 1, 11, 145
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/views/empty_chat.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 3, 29
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/block_user.dart", "Dart", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 7, 88
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/chat_bubble.dart", "Dart", 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 13, 11, 251
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/media_message.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/message_bar.dart", "Dart", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 33, 5, 180
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/message_tile.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 7, 89
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/name_lastmessage_chat.dart", "Dart", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 10, 13, 245
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/report_user.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 6, 67
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/chats/widget/un_block_user.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/logic.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/select_dates.dart", "Dart", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 7, 120
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/view.dart", "Dart", 0, 0, 0, 547, 0, 0, 0, 0, 0, 0, 0, 12, 559
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/widgets/bottom_sheet_for_add_phone_number.dart", "Dart", 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 3, 15, 235
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/widgets/bottom_sheet_for_guest.dart", "Dart", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 5, 105
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/confirm_order/widgets/confirm_number_screen.dart", "Dart", 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 6, 8, 205
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/views/explore/explore.dart", "Dart", 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 1, 12, 290
